Date,GHI_Satellite,ClearSky_GHI,Ambient_Temp,Humidity,Wind_Speed,PlantA_E_solar,PlantB_E_solar,PlantA_E_biogas,PlantB_E_biogas
2023-06-16,5.4881,6.6907,30.37,83.69,5.23,8.055323418,40.276617089999995,12.384861808385125,51.01574510882787
2023-06-17,5.3093,6.5443,30.44,83.21,4.96,7.790654448000001,38.95327224,13.418513926491515,50.47843149260384
2023-06-18,3.7258,6.0204,29.44,84.39,4.49,5.489444688,27.447223440000002,12.141974962344765,51.25132967648327
2023-06-19,3.7526,6.4111,28.8,89.05,3.88,5.54334072,27.716703600000002,11.560113132522144,51.724722551498324
2023-06-20,3.5309,6.7046,29.06,87.46,3.75,5.210337276,26.051686379999996,12.545662107735076,50.69998742707868
2023-06-21,3.882,6.5062,28.96,89.69,3.11,5.730763680000001,28.653818400000002,13.045420292274576,51.885915295629445
2023-06-22,2.9942,6.4666,28.58,88.17,3.03,4.426984584,22.134922919999998,11.821256152928392,51.49628265492869
2023-06-23,5.2798,7.3092,29.02,84.62,3.12,7.792351224,38.961756120000004,12.05366335548748,51.93169160560964
2023-06-24,5.7662,7.435,29.47,84.49,3.24,8.494650516,42.47325258000001,13.255549436367023,49.63862837856697
2023-06-25,5.9717,7.4786,29.19,84.26,4.99,8.807421462,44.03710731,12.036530697220694,52.22977324849007
2023-06-26,4.1198,7.3418,27.9,89.42,5.83,6.10801548,30.540077399999998,11.949942988603965,49.09402949124632
2023-06-27,2.5442,7.254,27.52,93.49,4.07,3.7778316960000002,18.88915848,13.118642375227488,46.52500509093544
2023-06-28,1.1486,7.1038,27.92,92.25,4.43,1.702776528,8.51388264,13.050945833447539,48.51389810265833
2023-06-29,2.0066,7.2871,27.95,92.75,3.43,2.97438318,14.871915900000001,12.140372179368308,50.983744036312025
2023-06-30,3.631,7.1081,28.64,90.95,3.63,5.36719896,26.835994799999995,12.404683282426541,49.919831698436646
2023-07-01,3.4675,6.9413,29.37,87.3,2.55,5.11033215,25.551660749999996,11.303408978071174,46.3886638141183
2023-07-02,4.4568,6.8273,28.73,91.96,2.9,6.585456816,32.92728408,12.021443188540738,49.21075602782639
2023-07-03,4.488,6.9194,29.33,88.93,2.34,6.615401760000001,33.0770088,12.33750769657338,49.227612311048105
2023-07-04,6.4759,7.1467,29.75,85.68,2.29,9.52928685,47.64643425,12.230733030781607,49.30944907545966
2023-07-05,5.7938,7.375,29.23,88.03,3.42,8.543653356,42.71826678,12.677018355263877,47.48676760489662
2023-07-06,4.5521,7.4765,29.06,88.28,4.21,6.717260844000001,33.586304219999995,12.372062786959477,49.560715514741894
2023-07-07,5.1744,7.3183,28.78,91.09,4.05,7.644244608,38.22122304,11.620419952160548,46.97115213012604
