Date,GHI_Satellite,ClearSky_GHI,Ambient_Temp,Humidity,Wind_Speed
2023-11-30,4.2038,4.2281,22.4,78.99,1.92
2023-12-01,4.3781,4.3889,21.9,82.79,2.76
2023-12-02,3.8266,4.0428,22.45,81.44,2.42
2023-12-03,3.6634,4.1714,22.6,83.22,2.42
2023-12-04,3.1697,4.1501,22.52,81.68,2.43
2023-12-05,1.3759,4.1362,22.2,82.47,1.61
2023-12-06,1.4299,3.8004,21.05,89.69,2.47
2023-12-07,0.7198,3.9192,20.64,93.18,3.18
2023-12-08,1.7249,3.9569,20.4,91.53,2.73
2023-12-09,3.4932,3.9384,19.36,86.73,2.96
2023-12-10,2.8073,3.0622,18.35,77.02,2.17
2023-12-11,3.2866,3.2995,17.06,77.36,2.61
2023-12-12,3.493,3.7142,17.39,79.41,2.39
2023-12-13,3.6564,3.7397,17.39,71.68,2.48
2023-12-14,3.5494,3.6043,16.53,69.84,2.22
2023-12-15,3.5174,3.5251,15.92,77.21,2.57
2023-12-16,3.737,3.7385,15.96,78.31,2.6
2023-12-17,3.949,3.9655,16.04,73.35,2.41
2023-12-18,3.8458,3.935,15.93,77.61,2.55
2023-12-19,3.917,3.9754,16.0,79.13,2.9
2023-12-20,4.091,4.1261,16.7,84.98,2.9
2023-12-21,3.864,4.0394,18.0,82.31,2.33
2023-12-22,3.619,3.8558,18.97,79.27,1.53
2023-12-23,2.611,3.709,19.96,74.63,1.06
2023-12-24,3.0775,3.6914,19.07,80.48,1.86
2023-12-25,3.1704,3.3127,19.08,79.29,1.87
2023-12-26,3.0307,3.1399,19.23,78.49,1.79
2023-12-27,3.2921,3.3823,18.73,82.89,2.21
2023-12-28,3.7159,3.7754,18.89,83.12,2.23
2023-12-29,4.1314,4.1592,18.87,84.48,2.64
2023-12-30,4.1388,4.1954,18.56,83.6,3.04
2023-12-31,2.1758,3.8988,17.54,82.4,3.06
2024-01-01,2.957,3.8338,17.04,79.27,2.48
2024-01-02,3.5914,3.8446,15.9,80.1,2.63
2024-01-03,2.7854,3.9612,16.03,78.18,2.62
2024-01-04,3.7613,3.8302,17.02,74.97,2.22
2024-01-05,3.8038,3.8182,17.29,76.99,2.31
2024-01-06,3.4702,3.6247,18.21,76.99,2.57
2024-01-07,3.5328,3.5369,18.23,82.77,2.85
2024-01-08,2.9419,3.558,18.23,81.23,2.88
2024-01-09,2.7379,3.6353,16.88,76.53,2.87
2024-01-10,3.3689,3.6413,17.21,67.34,2.15
2024-01-11,2.9674,3.4183,17.34,78.31,2.87
2024-01-12,1.1762,2.9198,14.22,74.95,2.91
2024-01-13,3.3907,3.7937,14.63,76.88,2.66
2024-01-14,1.4215,3.9948,14.77,75.95,2.12
2024-01-15,1.4422,3.8717,15.6,75.19,1.75
2024-01-16,2.6779,3.7068,15.63,73.39,1.62
2024-01-17,1.7407,3.3979,15.46,78.07,1.95
2024-01-18,1.9092,3.0667,16.57,78.16,1.39
2024-01-19,3.397,3.5885,17.38,81.01,2.35
2024-01-20,2.9095,4.0298,15.75,76.63,2.8
2024-01-21,2.9273,3.3595,15.26,73.42,2.57
2024-01-22,2.1074,3.0607,13.9,69.7,2.96
2024-01-23,3.7332,3.8138,15.44,62.37,1.86
2024-01-24,2.7497,3.601,15.61,71.21,1.23
2024-01-25,2.5246,3.4913,16.1,75.82,1.72
2024-01-26,3.582,3.6511,15.37,69.44,2.89
2024-01-27,3.7622,3.9775,15.03,64.49,2.65
2024-01-28,4.1566,4.2751,15.48,62.37,2.47
2024-01-29,4.0337,4.2007,17.1,58.2,1.82
2024-01-30,3.5165,3.6888,18.55,62.14,1.42
2024-01-31,2.5409,2.9345,20.05,74.53,1.31
2024-02-01,1.59,2.8294,20.61,74.18,1.23
2024-02-02,2.4098,2.7168,19.95,77.23,2.55
2024-02-03,4.4671,4.4801,19.27,68.84,3.03
2024-02-04,4.8922,4.902,19.43,59.8,2.16
2024-02-05,3.9593,4.7035,20.71,59.73,1.79
2024-02-06,2.1034,3.4627,21.91,69.95,1.85
2024-02-07,3.9238,4.3238,20.55,73.46,2.52
2024-02-08,4.957,5.015,18.36,54.47,2.54
2024-02-09,5.0009,5.0198,16.44,60.78,2.96
2024-02-10,4.8948,4.9082,17.07,61.72,2.83
2024-02-11,4.7966,4.8322,19.31,55.52,2.09
2024-02-12,4.3853,4.6649,20.98,53.93,1.78
2024-02-13,3.516,4.5346,22.61,54.05,1.39
2024-02-14,3.5827,4.0918,22.98,62.3,1.36
2024-02-15,3.8256,4.0015,23.16,67.45,1.65
2024-02-16,4.4071,4.411,21.99,71.73,2.75
2024-02-17,4.9022,4.9102,21.76,55.95,2.14
2024-02-18,4.4196,4.5245,21.93,47.88,1.39
2024-02-19,3.9034,4.5228,22.33,58.03,1.63
2024-02-20,2.6186,3.5381,23.68,70.5,2.76
2024-02-21,4.2247,4.4414,25.7,66.39,2.45
2024-02-22,2.4751,4.0673,25.55,71.05,2.67
2024-02-23,3.619,4.7544,22.66,75.95,2.45
